"tick","Min Size","Max Size","Mean Size"
0.0,0.008562295778445458,0.15429973909908534,0.09972176472831627
1.0,0.008562295778445458,0.15429973909908534,0.10004680887451853
2.0,0.02856229577844546,0.17429973909908533,0.11907899205537664
3.0,0.06856229577844546,0.21429973909908534,0.15675374429717587
4.0,0.12856229577844547,0.2671902586941278,0.21129300841204024
5.0,0.16148261265337444,0.34719025869412784,0.2836692411519424
6.0,0.19898261265337444,0.4471902586941279,0.3729826419348826
7.0,0.24398261265337445,0.5671902586941279,0.48072985949649366
8.0,0.3487063275810103,0.7071902586941279,0.6142754449502483
9.0,0.46529075159199057,0.8605993592169346,0.7611469693681165
10.0,0.5552907515919906,1.0405993592169347,0.9345497460623652
11.0,0.6552907515919906,1.2405993592169346,1.1267173243504347
12.0,0.7652907515919906,1.4605993592169346,1.3276220901985212
13.0,0.8852907515919906,1.7005993592169346,1.5468497442057767
14.0,1.0152907515919904,1.9605993592169346,1.7839211288371741
15.0,1.1552907515919904,2.2405993592169344,2.08269869929098
16.0,1.3052907515919903,2.5405993592169342,2.34152803284304
17.0,1.50984666919651,2.860599359216934,2.716060739090419
18.0,1.67984666919651,3.200599359216934,3.0318933491602382
19.0,1.8598466691965099,3.560599359216934,3.3654133121523016
20.0,2.04984666919651,3.9405993592169337,3.6987771322783503
21.0,2.24984666919651,4.340599359216934,4.076554910056128
22.0,2.45984666919651,4.760599359216934,4.4732215767227945
23.0,2.67984666919651,5.200599359216934,4.858341043868078
24.0,2.90984666919651,5.660599359216934,5.289591043868079
25.0,3.1498466691965104,6.140599359216934,5.739591043868079
26.0,3.3998466691965104,6.640599359216934,6.14866554292827
27.0,7.108467186354944,7.160599359216935,7.127388057842847
28.0,7.653199390414359,7.700599359216935,7.67632699757036
29.0,8.21319939041436,8.260599359216934,8.236326997570359
30.0,8.79319939041436,8.815182243079786,8.804190816747074
31.0,9.415182243079785,9.415182243079785,9.415182243079785
32.0,0.0,0.0,0.0
33.0,0.6400000000000002,0.6400000000000002,0.6400000000000002
34.0,1.3000000000000005,1.3000000000000005,1.3000000000000005
35.0,1.9800000000000009,1.9800000000000009,1.9800000000000009
36.0,2.680000000000001,2.680000000000001,2.680000000000001
37.0,3.4000000000000012,3.4000000000000012,3.4000000000000012
38.0,4.1400000000000015,4.1400000000000015,4.1400000000000015
39.0,4.900000000000002,4.900000000000002,4.900000000000002
40.0,5.680000000000002,5.680000000000002,5.680000000000002
41.0,6.480000000000003,6.480000000000003,6.480000000000003
42.0,7.300000000000003,7.300000000000003,7.300000000000003
43.0,8.140000000000004,8.140000000000004,8.140000000000004
44.0,9.000000000000005,9.000000000000005,9.000000000000005
45.0,9.880000000000006,9.880000000000006,9.880000000000006
46.0,0.0,0.0,0.0
47.0,0.9200000000000005,0.9200000000000005,0.9200000000000005
48.0,1.860000000000001,1.860000000000001,1.860000000000001
49.0,2.8200000000000016,2.8200000000000016,2.8200000000000016
50.0,3.800000000000002,3.800000000000002,3.800000000000002
51.0,4.8000000000000025,4.8000000000000025,4.8000000000000025
52.0,5.8000000000000025,5.8000000000000025,5.8000000000000025
53.0,6.8000000000000025,6.8000000000000025,6.8000000000000025
54.0,7.8000000000000025,7.8000000000000025,7.8000000000000025
55.0,8.800000000000002,8.800000000000002,8.800000000000002
56.0,9.800000000000002,9.800000000000002,9.800000000000002
57.0,0.0,0.0,0.0
58.0,1.0,1.0,1.0
59.0,2.0,2.0,2.0
60.0,3.0,3.0,3.0
61.0,4.0,4.0,4.0
62.0,5.0,5.0,5.0
63.0,6.0,6.0,6.0
64.0,7.0,7.0,7.0
65.0,8.0,8.0,8.0
66.0,9.0,9.0,9.0
67.0,0.0,0.0,0.0
68.0,1.0,1.0,1.0
69.0,2.0,2.0,2.0
70.0,3.0,3.0,3.0
71.0,4.0,4.0,4.0
72.0,5.0,5.0,5.0
73.0,6.0,6.0,6.0
74.0,7.0,7.0,7.0
75.0,8.0,8.0,8.0
76.0,9.0,9.0,9.0
77.0,0.0,0.0,0.0
78.0,1.0,1.0,1.0
79.0,1.9749999999999985,2.0,1.9993333333333332
80.0,2.962499999999997,3.0,2.9985507246376812
81.0,3.962499999999997,4.0,3.9984126984126966
82.0,4.962499999999997,5.0,4.998565573770493
83.0,5.962499999999997,6.0,5.998379629629628
84.0,6.962499999999997,7.0,6.998177083333331
85.0,7.962499999999997,8.0,7.998055555555555
86.0,8.962499999999997,9.0,8.997865853658535
87.0,0.0,9.999999999999998,0.4646075581395346
88.0,0.0,1.0,0.7947368421052631
89.0,1.0,2.0,1.7999999999999998
90.0,2.0,3.0,2.785243902439025
91.0,3.0,4.0,3.7904697986577167
92.0,4.0,5.0,4.794014598540145
93.0,5.0,6.0,5.798976377952758
