"tick","Min Size","Max Size","Mean Size"
0.0,0.0208421665090638,0.16467029674069217,0.10074629064502183
1.0,0.0208421665090638,0.16467029674069217,0.09993160718557956
2.0,0.0333421665090638,0.18467029674069216,0.11686311953601808
3.0,0.0583421665090638,0.22091752421233127,0.1532088580307353
4.0,0.08877798185093344,0.2809175242123313,0.20879278554151257
5.0,0.11877798185093344,0.3609175242123313,0.28107425013574927
6.0,0.15627798185093345,0.46091752421233134,0.372450369836087
7.0,0.23127798185093346,0.5809175242123313,0.48280118370114383
8.0,0.31761515849850486,0.7209175242123314,0.6061508113366038
9.0,0.37761515849850485,0.8809175242123314,0.754328561172572
10.0,0.44511515849850486,1.0609175242123314,0.9164826055673168
11.0,0.5201151584985049,1.2609175242123314,1.0921816998556004
12.0,0.6026151584985049,1.4809175242123314,1.2911968513707521
13.0,0.692615158498505,1.7209175242123314,1.500080345883612
14.0,0.790115158498505,1.9809175242123314,1.7129658153736314
15.0,0.8951151584985051,2.2609175242123314,1.9496512584691705
16.0,1.0076151584985051,2.560917524212331,2.1994404013429416
17.0,1.1276151584985052,2.880917524212331,2.432451706726962
18.0,1.2551151584985054,3.220917524212331,2.7216562521815075
19.0,1.3901151584985054,3.580917524212331,3.05066876421595
20.0,1.7701151584985055,3.9609175242123307,3.389954478501664
21.0,2.1701151584985054,4.360917524212331,3.7490619909460494
22.0,2.3906342323542544,4.780917524212331,4.218558863442965
23.0,2.6106342323542546,5.220917524212331,4.578352564191747
24.0,2.8406342323542546,5.680917524212331,4.986321314191748
25.0,3.080634232354255,6.160917524212332,5.514327642302524
26.0,3.330634232354255,6.660917524212332,5.860519583850075
27.0,3.590634232354255,7.1572616637946185,6.155825757647685
28.0,3.8801643236199905,7.6972616637946185,6.835581495415636
29.0,4.16016432361999,8.257261663794619,7.206236780961452
30.0,4.45016432361999,8.837261663794619,8.070034655745808
31.0,4.75016432361999,9.437261663794619,8.620034655745807
32.0,0.0,9.99865380711119,1.390194719903697
33.0,0.0,5.380164323619991,0.6234854053747823
34.0,0.6600000000000003,5.710164323619991,1.2677347419827274
35.0,1.3400000000000005,1.9800000000000009,1.7778947368421059
36.0,2.040000000000001,2.680000000000001,2.454117647058825
37.0,2.760000000000001,3.4000000000000012,3.1741176470588246
38.0,3.5000000000000013,4.1400000000000015,3.9430769230769247
39.0,4.260000000000002,4.900000000000002,4.667272727272729
40.0,5.040000000000002,5.680000000000002,5.488000000000003
41.0,5.8400000000000025,6.480000000000003,6.26666666666667
42.0,6.660000000000003,7.300000000000003,7.0866666666666704
43.0,7.5000000000000036,8.140000000000004,7.980000000000004
44.0,8.360000000000005,9.000000000000005,8.840000000000005
45.0,9.240000000000006,9.880000000000006,9.697142857142863
46.0,0.0,0.0,0.0
47.0,0.9200000000000005,0.9200000000000005,0.9200000000000005
48.0,1.860000000000001,1.860000000000001,1.860000000000001
49.0,2.8200000000000016,2.8200000000000016,2.8200000000000016
50.0,3.800000000000002,3.800000000000002,3.800000000000002
51.0,4.8000000000000025,4.8000000000000025,4.8000000000000025
52.0,5.8000000000000025,5.8000000000000025,5.8000000000000025
53.0,6.8000000000000025,6.8000000000000025,6.8000000000000025
54.0,7.8000000000000025,7.8000000000000025,7.8000000000000025
55.0,8.800000000000002,8.800000000000002,8.800000000000002
56.0,9.800000000000002,9.800000000000002,9.800000000000002
57.0,0.0,0.0,0.0
58.0,1.0,1.0,1.0
59.0,2.0,2.0,2.0
60.0,3.0,3.0,3.0
61.0,4.0,4.0,4.0
62.0,5.0,5.0,5.0
63.0,6.0,6.0,6.0
64.0,7.0,7.0,7.0
65.0,8.0,8.0,8.0
66.0,9.0,9.0,9.0
67.0,0.0,0.0,0.0
68.0,0.837499999999999,1.0,0.9992298578199049
69.0,1.687499999999998,2.0,1.9869260204081625
70.0,2.6874999999999982,3.0,2.971642441860465
71.0,3.587499999999997,4.0,3.956586538461539
72.0,4.474999999999996,5.0,4.951180555555553
73.0,5.374999999999995,6.0,5.942066929133858
74.0,6.314999999999995,7.0,6.9359565217391275
75.0,7.239999999999994,8.0,7.918836633663366
76.0,8.177499999999993,9.0,8.912282608695644
77.0,0.0,9.95,1.2536371527777783
78.0,0.0,1.0,0.5479528535980144
79.0,0.5849999999999999,2.0,1.5166148648648647
80.0,1.1774999999999998,3.0,2.4830177514792893
