"tick","Min Size","Max Size","Mean Size"
0.0,0.024415997306609274,0.18207271246234924,0.09987454850016568
1.0,0.024415997306609274,0.18207271246234924,0.09943764075510174
2.0,0.04441599730660928,0.20207271246234923,0.11723558938732698
3.0,0.08367076264813136,0.24207271246234924,0.15590194546102568
4.0,0.11367076264813136,0.30207271246234924,0.21357278154760037
5.0,0.15367076264813137,0.38207271246234925,0.29010063355347593
6.0,0.2036707626481314,0.4820727124623493,0.3835741281231543
7.0,0.2636707626481314,0.6020727124623493,0.49748070894177043
8.0,0.3336707626481314,0.7420727124623493,0.6303875485891878
9.0,0.4136707626481314,0.9020727124623493,0.7800816114559626
10.0,0.555658644736296,1.057265066575962,0.9649399456118675
11.0,0.655658644736296,1.257265066575962,1.1545928354521433
12.0,0.765658644736296,1.477265066575962,1.3607637039352434
13.0,0.885658644736296,1.717265066575962,1.586580921212213
14.0,1.0156586447362959,1.977265066575962,1.8290615960100836
15.0,1.1556586447362958,2.243810768961701,2.0703284976141725
16.0,1.3056586447362957,2.5357619303340178,2.3432205727729762
17.0,1.7698703105085496,2.8557619303340176,2.69583702404737
18.0,1.9823703105085497,3.1957619303340175,3.012669497018242
19.0,2.2073703105085496,3.5557619303340173,3.326996213063828
20.0,2.44487031050855,3.9298248786517305,3.6711864649891113
21.0,2.69487031050855,4.32982487865173,4.0476570532244045
22.0,2.95737031050855,4.74982487865173,4.408943183554521
23.0,3.23237031050855,5.189824878651731,4.7670264232185735
24.0,3.51987031050855,5.649824878651731,5.155899743626948
25.0,3.8198703105085503,6.129824878651731,5.5958997436269495
26.0,4.13237031050855,6.629824878651731,6.054233076960283
27.0,4.4573703105085505,7.1498248786517316,6.53089974362695
28.0,4.794870310508551,7.689824878651732,7.136896708445719
29.0,5.144870310508551,8.249824878651731,7.6587148902639015
30.0,5.507370310508551,8.829824878651731,8.199169435718447
31.0,5.899371732909617,9.429824878651731,9.00966843606462
32.0,0.0,9.979244338320383,0.795045837129088
33.0,0.0,6.6868717329096174,0.6479686592474897
34.0,0.6600000000000003,7.099371732909618,1.3399809616033223
35.0,1.3400000000000005,7.524371732909618,2.043124878996653
36.0,2.040000000000001,7.961871732909618,2.7600719897272943
37.0,2.760000000000001,8.411871732909619,3.502161322204569
38.0,3.5000000000000013,8.87437173290962,4.243541511090936
39.0,4.260000000000002,9.349371732909619,5.040520651828314
40.0,5.040000000000002,9.83687173290962,5.811580690171156
41.0,0.0,6.480000000000003,4.573333333333336
42.0,0.5125000000000002,7.300000000000003,5.307916666666669
43.0,1.0375000000000003,8.140000000000004,6.0604166666666694
44.0,1.5750000000000004,9.000000000000005,7.023750000000004
45.0,2.1250000000000004,9.880000000000006,7.821250000000004
46.0,0.0,2.6875000000000004,0.17338709677419362
47.0,0.9200000000000005,3.2625,1.0477727272727277
48.0,1.860000000000001,3.85,1.9350943396226428
49.0,2.8200000000000016,4.45,2.885200000000002
50.0,3.800000000000002,5.0625,3.8561111111111135
51.0,4.8000000000000025,5.6875,4.84329268292683
52.0,5.8000000000000025,6.324999999999999,5.829166666666671
53.0,6.8000000000000025,6.974999999999999,6.810606060606064
54.0,7.637499999999998,7.8000000000000025,7.789843750000003
55.0,8.312499999999998,8.800000000000002,8.762500000000006
56.0,8.999999999999998,9.800000000000002,9.73846153846154
57.0,0.0,9.699999999999998,0.16440677966101688
58.0,0.0,1.0,0.9152542372881355
59.0,0.7249999999999994,2.0,1.895136363636364
60.0,1.4624999999999988,3.0,2.8811538461538464
61.0,2.212499999999998,4.0,3.8519587628865977
62.0,2.9749999999999974,5.0,4.83625
63.0,3.7499999999999964,6.0,5.830096153846154
64.0,4.537499999999996,7.0,6.797605633802817
65.0,5.337499999999995,8.0,7.776666666666665
66.0,6.149999999999994,9.0,8.740119047619048
67.0,0.0,9.98,0.1905505415162455
68.0,0.0,8.927500000000002,1.1415637065637063
69.0,1.0,9.927500000000002,2.094749999999998
70.0,0.0,9.524999999999991,2.997756410256411
71.0,0.0,4.0,3.6504761904761898
72.0,0.8874999999999988,5.0,4.649519230769226
73.0,1.7874999999999976,6.0,5.631815789473685
74.0,2.6999999999999966,7.0,6.619685714285709
75.0,3.6249999999999956,8.0,7.561410256410255
76.0,4.562499999999995,9.0,8.588178571428577
77.0,0.0,9.95,0.3096830985915492
78.0,0.0,7.824999999999997,1.0159639084507037
79.0,0.5600000000000009,8.799999999999995,2.0060762548262514
80.0,1.140000000000002,9.787499999999994,2.9691542553191486
81.0,0.0,9.437499999999988,3.8105244755244727
82.0,0.0,5.0,4.298871951219516
83.0,1.0,6.0,5.21278005464481
84.0,2.0,7.0,6.169369158878504
85.0,3.0,8.0,7.068562717770035
86.0,4.0,9.0,8.016342412451369
87.0,0.0,9.999999999999998,1.1123320158102776
88.0,0.0,9.999999999999998,1.467512330456227
89.0,0.0,9.900000000000006,1.935212121212119
90.0,0.0,9.90000000000001,2.5813839848675904
